text,label,category_id,text_clean,class_prediction
barang sudah saya terima thanks,Layanan Pelanggan,1,barang terima thanks,Product
Fast ResponseFriendly Recommended Seller  ,Layanan Pelanggan,1,fast responsefriendly recommended seller,Customer Service
Seller fast respon Produk sudah diterima buat stok. Thanks,Layanan Pelanggan,1,seller fast respon produk terima stok thanks,Customer Service
mantap gan. laen kali pesen langsung,Layanan Pelanggan,1,mantap gan laen kali sen langsung,Customer Service
Fast respon dan barangnya mulus sip,Layanan Pelanggan,1,fast respon barang mulus sip,Customer Service
Bagus ada on/off switch tiap port. Kabel panjang,Produk,0,bagus on off switch port kabel panjang,Product
Sesuai dengan deskripsi mantap,Produk,0,sesuai deskripsi mantap,Product
tippp,Layanan Pelanggan,1,tippp,Customer Service
Sangat memuaskann dan barang sesuai deskripsi sudah 3 kali beli disini dan selalu puas recommended sellerer!,Layanan Pelanggan,1,memuaskann barang sesuai deskripsi 3 kali beli puas recommended sellerer,Customer Service
Yuhuuu Kebagian juga flash sale ya.,Layanan Pelanggan,1,yuhuuu bagi flash sale ya,Customer Service
Barang sesuai warna dan pesenan kemasan rapi dan aman Puas banget,Produk,0,barang sesuai warna sen kemas rapi aman puas banget,Customer Service
saya dapet yang mereknya K-One saya pakai untuk main Zelda Breath of The Wild di PC. semua tombol berfungsi dengan baik terima kasih,Produk,0,dapet merek k-one pakai untuk main zelda breath of the wild pc tombol fungsi baik terima kasih,Product
Barang bagus berkualitas dan Pengiriman cepat,Pengiriman,2,barang bagus kualitas kirim cepat,Customer Service
harga sesuai dengan kualitas cmn ada yang klick kirinya agak nempel pas di pencet tapi gpp good,Produk,0,harga sesuai kualitas cmn klick kiri nempel pas pencet gpp good,Product
luar biasa.kemaren bayar hari ini barang sudah sampai.sukses terus ya.,Pengiriman,2,luar biasa kemaren bayar hari barang sampai sukses terus ya,Shipping/Delivery
pelayanan cepat dan ramah banget,Layanan Pelanggan,1,layan cepat ramah banget,Customer Service
"harga kaki lima
kualitas meikarata",Produk,0,harga kaki lima kualitas meikarata,Product
Pelayanan baik pengiriman cepat.,Layanan Pelanggan,1,layan baik kirim cepat,Shipping/Delivery
barang sampai tujuan dan berfungsi sesuai harapan,Produk,0,barang tuju fungsi sesuai harap,Product
Cengli lah jossssssssss,Produk,0,cengli jossssssssss,Product
Recommend seller fast respon,Layanan Pelanggan,1,recommend seller fast respon,Customer Service
mantap cepat dan kualitas baguslah,Layanan Pelanggan,1,mantap cepat kualitas bagus,Product
Paket sudah diterima. Kualitas bagus dan sangat bermanfaat. thanks.,Produk,0,paket terima kualitas bagus manfaat thanks,Customer Service
barang berfungsi dengan baik respon dan Pengiriman cepat,Pengiriman,2,barang fungsi baik respon kirim cepat,Customer Service
mantap cepat barang bagus tidak akan kecewa,Produk,0,mantap cepat barang bagus kecewa,Product
barang sudah diterima dengan baik dan fast response thanks ya,Layanan Pelanggan,1,barang terima baik fast response thanks ya,Customer Service
kabel vgak sudah diterima packing ok. hatur nuhun,Produk,0,kabel vgak terima packing ok hatur nuhun,Product
belum dicoba semoga lancar berfungsi thanks mas,Produk,0,coba moga lancar fungsi thanks mas,Product
barang sudah diterima dengan baik  mudaha2an cepat bisa dijual  terima kasih,Produk,0,barang terima baik mudaha2an cepat jual terima kasih,Shipping/Delivery
liat bintang aja ya haha,Produk,0,liat bintang aja ya haha,Product
Thanks barang sudah diterima dan berfungsi dengan baik. Thanks,Produk,0,thanks barang terima fungsi baik thanks,Product
Barang cepat sampai dan bagus kualitasnya,Pengiriman,2,barang cepat bagus kualitas,Shipping/Delivery
barang sesuai pesanan datang tepat waktu kualitas oke,Layanan Pelanggan,1,barang sesuai pesan datang tepat waktu kualitas oke,Customer Service
Produk sangat bagus dan packing rapi,Produk,0,produk bagus packing rapi,Product
Ini ramping dan ringan. Ini adalah jam yang bagus,Produk,0,ramping ringan jam bagus,Product
Kualitas barang bagus &  berfungsi dengan baik,Produk,0,kualitas barang bagus fungsi baik,Product
Tombol ketigak gak berfungsi tapi selebihnya gak masalah. Terima kasih,Produk,0,tombol ketigak gak fungsi lebih gak masalah terima kasih,Product
deskripsi sesuaian dengan yang ditawarkan fungsi baik,Produk,0,deskripsi sesuai tawar fungsi baik,Product
Barang sudah sampai proses dan pengiriman barang cepat barang sesuai pesanan. Thankss,Pengiriman,2,barang proses kirim barang cepat barang sesuai pesan thankss,Shipping/Delivery
Simpel ringan dan nyaman m fast response Recommended banget,Produk,0,simpel ringan nyaman m fast response recommended banget,Product
terima kasih banyak gan,Layanan Pelanggan,1,terima kasih gan,Customer Service
Thanks gan barang sudah diterima pelayanny ramah dan proses nya juga cepat packing rapi barang belum dicoba tapii over all kyknya oke lah.terima kasih ,Layanan Pelanggan,1,thanks gan barang terima pelayanny ramah proses nya cepat packing rapi barang coba tapi over all kyknya oke lah terima kasih,Customer Service
sangat bagus sangat mantap,Produk,0,bagus mantap,Product
respon penjual cepat dan Pengiriman cepat,Layanan Pelanggan,1,respon jual cepat kirim cepat,Customer Service
Bagus Barang Sesuai deskripsi packing aman.,Produk,0,bagus barang sesuai deskripsi packing aman,Product
Barang original Casio ada warranthanks card juga cocok buat kado seseorang haha.terima kasih,Produk,0,barang original casio warranthanks card cocok kado haha terima kasih,Product
Makasi Sesuai pesanan tapi jamnya ternyata kecil ya,Produk,0,makas sesuai pesan jam nyata ya,Product
barang bagus cepat sampai recommended banget,Pengiriman,2,barang bagus cepat recommended banget,Shipping/Delivery
Barangnya bagus banget packing rapi respon seller memuaskan,Layanan Pelanggan,1,barang bagus banget packing rapi respon seller muas,Customer Service
Semuanya sangat baik saya menyukainya,Layanan Pelanggan,1,baik suka,Product
sudah dterima kasiha dan fungsi dengan baik ,Produk,0,dterima kasiha fungsi baik,Product
kualitas bagus sebanding dengan harganya yang murah :-),Produk,0,kualitas bagus banding harga murah -,Product
tidak bisa digunakan,Produk,0,guna,Customer Service
Thanks gan barang sudah mendart dan ok sorry tepat review gan haha,Layanan Pelanggan,1,thanks gan barang mendart ok sorry tepat review gan haha,Customer Service
Pengiriman tepat waktu barang sesuai harga tombol kanan kurang responsif.,Pengiriman,2,kirim tepat waktu barang sesuai harga tombol kanan kurang responsif,Shipping/Delivery
Thanks ya. Jamnya sesuai gambar dan berfungsi baik.,Produk,0,thanks ya jam sesuai gambar fungsi baik,Product
barang diterima dan berfungsi dengan baik,Produk,0,barang terima fungsi baik,Product
Barang cepat sampai Recommended seller,Pengiriman,2,barang cepat recommended seller,Customer Service
lumayan bagus.,Produk,0,lumayan bagus,Product
Bagus Pengiriman cepat. semoga tahan lama,Pengiriman,2,bagus kirim cepat moga tahan,Shipping/Delivery
Barang bagus sesuai pesanan. Lanjuntukan Bosku,Produk,0,barang bagus sesuai pesan lanjuntukan bos,Product
respon cepat barang sesuai deskripsi. recommended seller gan.,Layanan Pelanggan,1,respon cepat barang sesuai deskripsi recommended seller gan,Customer Service
kualitas ok sesuai deskripsi. Top deh pokpknya.,Produk,0,kualitas ok sesuai deskripsi top deh pokpknya,Product
Barang sudah saya terima,Pengiriman,2,barang terima,Product
barang cepat sampai gan.,Pengiriman,2,barang cepat gan,Customer Service
sudah dicoba berfungsi dengan baik dan barang cepat nyampenya oke sekali,Produk,0,coba fungsi baik barang cepat nyampenya oke,Shipping/Delivery
Produk sesuai deksripsi terima kasih bos ,Produk,0,produk sesuai deksripsi terima kasih bos,Product
Barang bagus sesuai deskrip packing mantap👍👍,Produk,0,barang bagus sesuai deskrip packing mantap,Product
Good stick gan mantap,Produk,0,good stick gan mantap,Product
Biar bintang bicara 👍. Barang mantap,Produk,0,biar bintang bicara barang mantap,Customer Service
Fast Respond. Thanks 🙏,Layanan Pelanggan,1,fast respond thanks,Customer Service
barang cepat sampai respin penjual cepat kualitas barang baik,Pengiriman,2,barang cepat respin jual cepat kualitas barang baik,Shipping/Delivery
Kerennnssssss packaging rapi Jam nya kece,Layanan Pelanggan,1,kerennnssssss packaging rapi jam nya kece,Customer Service
Respon fast dan Pengiriman cepat,Layanan Pelanggan,1,respon fast kirim cepat,Customer Service
Respon seller cepat led fan tidak nyala dan kipas pelan.,Layanan Pelanggan,1,respon seller cepat led fan nyala kipas pelan,Customer Service
Ok. Sesuai pesenan. Thanks ,Layanan Pelanggan,1,ok sesuai sen thanks,Customer Service
Barang yang dikirimkan sesuai gambar dan kondisi cukup baik,Produk,0,barang kirim sesuai gambar kondisi cukup baik,Product
packing aman barang sampai dengan aman terima kasih banyak,Layanan Pelanggan,1,packing aman barang aman terima kasih,Shipping/Delivery
Barang sudah diterima dan sesuai dengan harganya,Produk,0,barang terima sesuai harga,Product
Terima kasiiiiiiiiiiiiiiiiiiiih bagus banget terima kasih juga buat toped atas Flash sale 25 nya ,Layanan Pelanggan,1,terima kasiiiiiiiiiiiiiiiiiiiih bagus banget terima kasih toped atas flash sale 25 nya,Customer Service
"bagus
tombol2 empuk
terima kasih
beli 3 masih dicoba 2 normal",Produk,0,bagus tombol2 empuk terima kasih beli 3 coba 2 normal,Product
pengiriman cepat produk berfungsi tapi tyt ukuran kecil,Pengiriman,2,kirim cepat produk fungsi tyt ukur,Shipping/Delivery
Barang sudah tiba min Terima kasih,Pengiriman,2,barang tiba min terima kasih,Shipping/Delivery
"langsung bisa langsung dimainin tanpa pakai app lagi
mantap",Produk,0,langsung langsung dimainin pakai app mantap,Product
berfungsi dengan baik 👍,Produk,0,fungsi baik,Product
Barang sudah smp cuma gak sesuai dengan yang saya pikirkan tapi barang sesuai gb kok ,Produk,0,barang smp gak sesuai pikir barang sesuai gb,Product
barang ori difikir besar trnyata imut2 jam nya ,Produk,0,barang ori difikir besar trnyata imut2 jam nya,Product
Normal aman gaes Fast respon,Layanan Pelanggan,1,normal aman gaes fast respon,Customer Service
Barang sudah aman dan ok banget,Produk,0,barang aman ok banget,Customer Service
Terima kasih banyak barang telah diterima dengan baik semoga tidak ada kendala,Layanan Pelanggan,1,terima kasih barang terima baik moga kendala,Product
sudah dipakai lancar jaya. mantap.,Produk,0,pakai lancar jaya mantap,Product
100% harga termurah dan semua port berfungsi dengan baik sangat sesuai dengan deskripsi dan foto yang dilampirkan. Recommended! ;),Produk,0,100 harga murah port fungsi baik sesuai deskripsi foto lampir recommended,Product
Barang sudah sampai. Package rapi,Layanan Pelanggan,1,barang sampai package rapi,Customer Service
barang sesuai dengan gmbr kondisi baru respon cepat Pengiriman cepat,Pengiriman,2,barang sesuai gmbr kondisi baru respon cepat kirim cepat,Shipping/Delivery
mantap barang sesuai Pengiriman super cepat,Pengiriman,2,mantap barang sesuai kirim super cepat,Shipping/Delivery
Sebenarnya sudah bagus yang buat kecewa hanya barang yang di order berbeda dengan yang datang saya ordernya M-Tech yang datang malah K-One berhubung pas di tes aman2 aja yahh ok lah,Produk,0,bagus kecewa barang order beda datang order m-tech datang k-one hubung pas tes aman2 aja yahh ok,Product
Pengiriman cepat barang berfungsi dengan baik terima kasih,Pengiriman,2,kirim cepat barang fungsi baik terima kasih,Shipping/Delivery
terima kasih barang sudah sampe,Pengiriman,2,terima kasih barang sampe,Shipping/Delivery
Paketan sudah sampai dengan selamat dan aman terima kasih,Pengiriman,2,paket selamat aman terima kasih,Shipping/Delivery
terima kasihhhhhhhhhh banyakkkk,Layanan Pelanggan,1,terima kasihhhhhhhhhh banyakkkk,Customer Service
Sesuai deskripsi dan harga oke produk mewah terlihat semoga awet.,Produk,0,sesuai deskripsi harga oke produk mewah lihat moga awet,Product
Thanks Pengiriman cepat dikirim cepat packing oke.,Pengiriman,2,thanks kirim cepat kirim cepat packing oke,Shipping/Delivery
Produk original sesuai deskripsi packing aman dan berfungsi dengan baik ^_^ terima kasih,Produk,0,produk original sesuai deskripsi packing aman fungsi baik terima kasih,Product
"Pengiriman cepat dan selamat sampai tujuan.
tapi barang belum di test",Pengiriman,2,kirim cepat selamat tuju barang test,Shipping/Delivery
Pemutar jamnya rusak dan jam tidak glow in the dark. tapi tokoh mau bertangung jawab mengganti. terima kasih,Layanan Pelanggan,1,putar jam rusak jam glow in the dark tokoh bertangung jawab ganti terima kasih,Customer Service
barang sudah diterima dengan baik fast response packing rapi sesuai dengan gambar dan spec very recommended seller!!!,Layanan Pelanggan,1,barang terima baik fast response packing rapi sesuai gambar spec very recommended seller,Customer Service
"Baranh sudah diterima
terima kasib",Pengiriman,2,baranh terima terima kasib,Shipping/Delivery
Sudah sampai Original 👍👍,Produk,0,original,Product
bagußssssssssssssssssssssssssssssssssssssssss,Produk,0,bagu ssssssssssssssssssssssssssssssssssssssss,Product
Bagus sesuai dengan pesanan!,Layanan Pelanggan,1,bagus sesuai pesan,Product
barang sampai dengan aman,Pengiriman,2,barang aman,Shipping/Delivery
rumayan sticknya bagus,Produk,0,rumayan sticknya bagus,Product
Nice tapi dikirimnya lama mesen kamis dikirim sabtu,Pengiriman,2,nice kirim mesen kamis kirim sabtu,Shipping/Delivery
Ramah dan cepat banget bales chat dll barang sampai dengan selamt tapi sayang gan mereknya gak sesuai dikasinya nisuta yang di cantumkan m-tech td dicoba lancar aja sih semoga kedepannya di beritahukan dlu gan / cantumkan di deskripsi.,Layanan Pelanggan,1,ramah cepat banget bales chat dll barang selamt sayang gan merek gak sesuai kas nisuta cantum m-tech td coba lancar aja sih moga depan beritahukan dlu gan cantum deskripsi,Customer Service
Barang sesuai gambar dan fast respom🙏🙏,Layanan Pelanggan,1,barang sesuai gambar fast respom,Customer Service
Paket langsung sampai dalam hitungan jam dan barang sejauh ini ok,Pengiriman,2,paket langsung hitung jam barang jauh ok,Customer Service
Produk yang saya terima sesuai dengan foto,Produk,0,produk terima sesuai foto,Product
Suka jala baja hitam dan dial hitam,Produk,0,suka jala baja hitam dial hitam,Product
Excellent!. Fast response pengiriman cepat banget. Jam nya juga bagus simple Sukaaaa!. semoga awet. terima kasih:),Produk,0,excellent fast response kirim cepat banget jam nya bagus simple sukaaaa moga awet terima kasih,Customer Service
Dahsayaat Super cepat respon dan Prosesnya kilat Thanks,Layanan Pelanggan,1,dahsayaat super cepat respon proses kilat thanks,Customer Service
Fast respon cepat banget,Layanan Pelanggan,1,fast respon cepat banget,Customer Service
mantap fast respon dikirim juga cepat barang juga oke punya,Layanan Pelanggan,1,mantap fast respon kirim cepat barang oke punya,Customer Service
Barang sesuai deskripsi semoga awet,Produk,0,barang sesuai deskripsi moga awet,Product
Packing baik Pengiriman cepat mantap,Pengiriman,2,packing baik kirim cepat mantap,Shipping/Delivery
Bahan ringan lentur. Sukaaa banget. Pengiriman cepeeet terima kasih 😊,Produk,0,bahan ringan lentur sukaaa banget kirim cepeeet terima kasih,Product
Sudah ditest dan semua berjalan dengan baik.,Produk,0,ditest jalan baik,Product
Barang sesuai deskripsi pengiriman cepat kualitas memuaskan. recommended seller,Produk,0,barang sesuai deskripsi kirim cepat kualitas muas recommended seller,Customer Service
barangnya bener2 sesuai ekspektasi saya begitu terima terkesan sangat mewah. benar2 jam yang saya butuhkan untuk menambah penampilan. semoga jam ini awet dan membawa kebaikan bagi saya dan penjual. respon bagus pengiriman cepat. good reseller. thanks,Produk,0,barang bener2 sesuai ekspektasi terima kes mewah benar2 jam butuh untuk tambah tampil moga jam awet bawa baik jual respon bagus kirim cepat good reseller thanks,Product
Barang cpettt sampai. kualitas lumayan not bad ,Pengiriman,2,barang cpettt sampai kualitas lumayan not bad,Shipping/Delivery
pesanan sudah diterima dan berfungsi dengan baik. Thanks.,Produk,0,pesan terima fungsi baik thanks,Product
Seller respon cepat kualitas mtech,Layanan Pelanggan,1,seller respon cepat kualitas mtech,Customer Service
barangnya bagus sampenya cepat cepat sampenya bagus barangnya oh raisa mengapa engakau menikah. semoga kau bahagia. terima kasih,Pengiriman,2,barang bagus sampenya cepat cepat sampenya bagus barang oh raisa engakau meni moga kau bahagia terima kasih,Shipping/Delivery
Baru pesen sudah sampai Joss lah.,Layanan Pelanggan,1,baru sen joss lah,Product
barang diterima dalam kondisi baik dan siap dipakai,Produk,0,barang terima kondisi baik siap pakai,Product
Barang sudah sampai dan sudah dicoba,Produk,0,barang coba,Customer Service
Barang bagus cuman gak sesuai barang,Produk,0,barang bagus cuman gak sesuai barang,Product
Barang bagus dan barang cepat sampai,Produk,0,barang bagus barang cepat,Shipping/Delivery
Barang oke sesuai deskripsi thanks,Produk,0,barang oke sesuai deskripsi thanks,Product
cocok sempurna dan gaya. Suamiku menyukainya. Terima kasih.,Produk,0,cocok sempurna gaya suami suka terima kasih,Product
produk oke packing oke glow in the dark berfungsi cuma ini ori kan ya harusnya ada garansi kan ya ?? tapi gak ada kartu garansi atau tanda untuk garansinya,Layanan Pelanggan,1,produk oke packing oke glow in the dark fungsi ori ya garansi ya gak kartu garansi tanda untuk garansi,Customer Service
Nice stuff dan great love it!!!,Produk,0,nice stuff great love it,Product
Kualitas barang bagus sesuai harapan Packing juga sangat rapi Top sudah pkoknya ,Produk,0,kualitas barang bagus sesuai harap packing rapi top pkoknya,Product
Recommended lah tapi saran dikasih bubble wrap ya gan biar lebih aman Produknyaa,Layanan Pelanggan,1,recommended saran kasih bubble wrap ya gan biar aman produknyaa,Customer Service
terima kasih gan barang sudah sampai walau belum di cek,Layanan Pelanggan,1,terima kasih gan barang cek,Customer Service
Sama seperti di fotokualitas build sangat bagus super tipis.,Produk,0,fotokualitas build bagus super tipis,Product
mantap gan. barang nyampe dengan selamat,Layanan Pelanggan,1,mantap gan barang nyampe selamat,Customer Service
